2010,2011,2012,2013,2014,2015,Borough,,,
138 St-Grand Concourse  5 subway,,,,,,,,,
"898,509","917,911","939,284","957,984","1,033,559","1,056,380",Bronx ,,,
149 St-Grand Concourse 2 subway 4 subway 5 subway,,,,,,,,,
"3,979,328","4,169,699","4,104,847","4,427,399","4,536,888","4,424,754",Bronx ,,,
161 St-Yankee Stadium B subway D subway 4 subway,,,,,,,,,
"8,434,247","8,605,893","8,831,015","8,766,012","8,961,029","8,922,188",Bronx ,,,
167 St  4 subway,,,,,,,,,
"2,931,947","2,978,748","3,039,634","3,081,534","3,067,345","3,180,274",Bronx ,,,
167 St  B subway D subway,,,,,,,,,
"2,907,900","2,952,368","2,972,535","3,091,289","3,245,977","3,295,032",Bronx ,,,
170 St  4 subway,,,,,,,,,
"2,950,997","2,954,573","2,980,786","2,961,575","2,941,958","3,045,205",Bronx ,,,
170 St  B subway D subway,,,,,,,,,
"1,940,700","1,988,409","2,032,837","2,174,082","2,297,459","2,286,670",Bronx ,,,
174 St  2 subway 5 subway,,,,,,,,,
"2,239,254","2,161,875","2,152,009","2,301,756","2,374,812","2,313,651",Bronx ,,,
174-175 Sts  B subway D subway,,,,,,,,,
"1,451,367","1,492,092","1,496,869","1,598,189","1,719,504","1,695,879",Bronx ,,,
176 St  4 subway,,,,,,,,,
"1,445,219","1,720,629","1,764,100","1,837,995","1,848,854","1,969,221",Bronx ,,,
182-183 Sts  B subway D subway,,,,,,,,,
"1,495,831","1,489,026","1,447,028","1,520,856","1,604,218","1,643,266",Bronx ,,,
183 St  4 subway,,,,,,,,,
"1,945,021","1,978,737","1,997,038","2,002,633","2,007,140","2,057,944",Bronx ,,,
219 St  2 subway 5 subway,,,,,,,,,
"1,024,424","1,032,343","1,063,058","1,099,491","1,124,522","1,108,859",Bronx ,,,
225 St  2 subway 5 subway,,,,,,,,,
"1,283,398","1,336,790","1,382,626","1,400,377","1,445,591","1,439,495",Bronx ,,,
231 St  1 subway,,,,,,,,,
"2,660,882","2,731,068","2,829,503","2,757,855","2,912,283","2,966,015",Bronx ,,,
233 St  2 subway 5 subway ,,,,,,,,,
"1,614,436","1,655,372","1,674,406","1,719,181","1,803,693","1,762,923",Bronx ,,,
238 St  1 subway ,,,,,,,,,
"1,067,352","902,601","1,106,353","1,092,492","1,209,623","1,240,616",Bronx ,,,
3 Av-138 St  6 subway,,,,,,,,,
"2,190,627","2,280,268","2,304,717","2,443,326","2,534,036","2,531,974",Bronx ,,,
3 Av-149 St  2 subway 5 subway ,,,,,,,,,
"7,239,167","7,232,070","7,525,904","7,310,115","7,763,151","7,363,663",Bronx ,,,
Allerton Av  2 subway 5 subway ,,,,,,,,,
"1,668,896","1,602,390","1,689,145","1,747,352","1,829,712","1,821,628",Bronx ,,,
Baychester Av  5 subway,,,,,,,,,
"1,087,618","1,106,959","1,161,075","1,234,050","1,186,372","1,137,693",Bronx ,,,
Bedford Park Blvd B subway D subway,,,,,,,,,
"1,885,231","1,914,096","1,929,623","2,040,887","2,136,860","2,196,065",Bronx ,,,
Bedford Park Blvd-Lehman College 4 subway,,,,,,,,,
"1,786,305","1,835,965","1,796,392","1,853,706","1,827,260","1,863,892",Bronx ,,,
Bronx Park East 2 subway 5 subway,,,,,,,,,
"888,162","826,356","860,554","914,831","933,109","877,311",Bronx ,,,
Brook Av  6 subway,,,,,,,,,
"1,902,909","1,950,893","1,901,192","1,970,010","2,002,825","1,981,721",Bronx ,,,
Buhre Av 6 subway,,,,,,,,,
"895,193","991,171","1,008,640","1,111,659","637,600","661,527",Bronx ,,,
Burke Av  2 subway 5 subway,,,,,,,,,
"1,060,008","1,036,169","1,086,792","1,133,298","1,158,787","1,139,826",Bronx ,,,
Burnside Av  4 subway,,,,,,,,,
"3,533,604","3,528,312","3,508,076","3,560,191","3,558,297","3,641,720",Bronx ,,,
Castle Hill Av 6 subway,,,,,,,,,
"2,345,255","2,341,370","2,327,404","1,756,879","1,491,030","2,174,412",Bronx ,,,
Cypress Av  6 subway,,,,,,,,,
"1,158,742","1,142,381","1,097,947","1,186,696","1,226,878","1,228,311",Bronx ,,,
East 143 St-St Mary's St 6 subway,,,,,,,,,
"256,277","280,840","285,464","273,895","279,012","298,462",Bronx ,,,
East 149 St  6 subway,,,,,,,,,
"1,351,873","1,383,455","1,403,118","1,457,795","1,460,311","1,479,241",Bronx ,,,
East 180 St  2 subway 5 subway,,,,,,,,,
"1,852,836","2,164,608","2,098,429","2,152,570","2,445,421","2,368,031",Bronx ,,,
Eastchester-Dyre Av 5 subway,,,,,,,,,
"1,258,858","1,309,695","1,366,077","1,441,375","1,380,334","1,330,123",Bronx ,,,
Elder Av 6 subway,,,,,,,,,
"2,864,031","721,362","1,936,349","2,041,453","2,084,044","2,080,228",Bronx ,,,
Fordham Rd  4 subway,,,,,,,,,
"3,866,249","3,966,339","3,947,625","3,946,955","3,857,749","3,892,140",Bronx ,,,
Fordham Rd  B subway D subway,,,,,,,,,
"3,681,362","3,680,312","3,655,007","3,876,601","4,028,205","3,905,346",Bronx ,,,
Freeman St  2 subway 5 subway,,,,,,,,,
"1,332,285","1,348,014","1,393,186","1,486,965","1,517,066","1,492,757",Bronx ,,,
Gun Hill Rd  2 subway 5 subway,,,,,,,,,
"2,101,823","2,176,939","2,235,325","2,304,780","2,477,798","2,449,555",Bronx ,,,
Gun Hill Rd  5 subway,,,,,,,,,
"1,713,288","1,683,011","1,757,377","1,792,707","1,716,952","1,639,924",Bronx ,,,
Hunts Point Av 6 subway,,,,,,,,,
"3,248,970","3,191,706","3,204,779","3,158,343","3,138,131","3,305,563",Bronx ,,,
Intervale Av  2 subway 5 subway,,,,,,,,,
"908,596","902,216","937,280","1,048,501","1,095,221","1,039,265",Bronx ,,,
Jackson Av  2 subway 5 subway,,,,,,,,,
"1,624,212","1,573,302","1,520,612","1,686,061","1,753,555","1,731,638",Bronx ,,,
Kingsbridge Rd 4 subway,,,,,,,,,
"3,037,572","3,169,615","3,173,688","3,198,725","3,149,605","3,171,646",Bronx ,,,
Kingsbridge Rd B subway D subway,,,,,,,,,
"2,285,401","2,275,576","2,255,556","2,390,749","2,562,374","2,530,782",Bronx ,,,
Longwood Av  6 subway,,,,,,,,,
"1,026,772","1,067,960","1,065,764","1,087,990","1,098,022","1,088,970",Bronx ,,,
Middletown Rd 6 subway  ,,,,,,,,,
"546,692","559,746","566,771","441,950","661,242","795,762",Bronx ,,,
Morris Park  5 subway,,,,,,,,,
"535,823","554,320","589,170","631,930","621,945","629,282",Bronx ,,,
Morrison Av-Soundview 6 subway,,,,,,,,,
"730,517","3,028,145","2,057,570","2,096,942","2,125,383","2,097,203",Bronx ,,,
Mosholu Pkwy  4 subway,,,,,,,,,
"2,913,786","2,961,522","2,906,150","2,917,501","2,886,764","2,891,451",Bronx ,,,
Mt Eden Av  4 subway ,,,,,,,,,
"1,843,698","1,814,951","1,818,870","1,848,483","1,824,861","1,844,131",Bronx ,,,
Nereid Av  2 subway 5 subway,,,,,,,,,
"1,001,851","1,025,004","1,086,227","1,195,804","1,183,733","1,162,973",Bronx ,,,
Norwood-205 St D subway,,,,,,,,,
"2,410,949","2,472,094","2,463,462","2,569,581","2,709,761","2,750,124",Bronx ,,,
Parkchester 6 subway,,,,,,,,,
"3,944,729","4,851,182","4,687,402","5,215,409","5,586,943","5,224,959",Bronx ,,,
Pelham Bay Park 6 subway,,,,,,,,,
"1,997,392","2,062,525","2,030,215","2,096,130","2,318,533","2,337,689",Bronx ,,,
Pelham Pkwy  2 subway 5 subway,,,,,,,,,
"2,703,568","2,701,431","2,882,651","3,028,494","3,084,862","3,066,190",Bronx ,,,
Pelham Pkwy  5 subway,,,,,,,,,
"883,490","897,433","923,188","919,689","907,735","894,727",Bronx ,,,
Prospect Av  2 subway 5 subway,,,,,,,,,
"2,326,054","2,209,945","2,125,066","2,311,798","2,445,131","2,394,820",Bronx ,,,
Simpson St  2 subway 5 subway,,,,,,,,,
"3,057,192","2,901,513","2,810,789","3,027,856","3,121,036","3,048,014",Bronx ,,,
St Lawrence Av 6 subway,,,,,,,,,
"1,655,340","463,809","1,212,796","1,280,074","1,315,456","1,320,571",Bronx ,,,
Tremont Av  B subway D subway,,,,,,,,,
"2,709,632","2,772,602","2,791,329","2,952,385","3,130,848","3,155,197",Bronx ,,,
Van Cortlandt Park-242 St 1 subway,,,,,,,,,
"1,878,788","1,937,333","2,041,551","2,148,667","2,188,428","2,266,986",Bronx ,,,
Wakefield-241 St 2 subway,,,,,,,,,
"1,471,501","1,560,698","1,603,076","1,528,793","1,669,608","1,654,707",Bronx ,,,
West Farms Sq-East Tremont Av 2 subway 5 subway,,,,,,,,,
"2,520,377","2,391,352","2,428,999","2,514,240","2,567,773","2,437,882",Bronx ,,,
Westchester Sq-East Tremont Av 6 subway,,,,,,,,,
"1,885,522","1,993,343","1,964,525","2,043,649","2,177,402","2,056,555",Bronx ,,,
Whitlock Av 6 subway ,,,,,,,,,
"163,461","726,747","524,988","534,489","543,798","545,079",Bronx ,,,
Woodlawn  4 subway,,,,,,,,,
"2,379,276","2,494,092","2,417,765","2,423,278","2,375,663","2,418,890",Bronx ,,,
Zerega Av 6 subway ,,,,,,,,,
"759,280","825,755","849,815","985,388","599,478","492,883",Bronx ,,,
15 St-Prospect Park F subway G subway,,,,,,,,,
"1,922,348","1,449,241","1,852,346","2,005,424","2,017,347","2,011,237",Brooklyn,,,
18 Av  D subway,,,,,,,,,
"1,752,952","1,654,305","1,661,770","1,954,729","1,996,205","1,925,239",Brooklyn,,,
18 Av  F subway,,,,,,,,,
"1,287,551","1,306,839","1,294,568","1,313,344","1,277,024","1,392,552",Brooklyn,,,
18 Av N subway,,,,,,,,,
"1,676,056","1,828,462","1,819,255","1,641,928","1,775,695","1,784,992",Brooklyn,,,
20 Av  D subway,,,,,,,,,
"1,409,313","1,370,001","1,377,648","1,547,029","1,564,060","1,592,525",Brooklyn,,,
20 Av  N subway,,,,,,,,,
"1,194,973","1,220,065","1,245,145","1,286,961","1,305,487","1,279,525",Brooklyn,,,
25 Av  D subway,,,,,,,,,
