(('', datetime.datetime(1000, 1, 1, 0, 0), -9), 463)
(('BRONX', datetime.datetime(1000, 1, 1, 0, 0), -99), 109)
(('BRONX', datetime.datetime(1000, 1, 1, 0, 0), -9), 1092918)
(('BRONX', datetime.datetime(2006, 8, 27, 0, 0), 1), 264)
(('BRONX', datetime.datetime(2006, 9, 3, 0, 0), 0), 274)
(('BRONX', datetime.datetime(2006, 11, 5, 0, 0), 1), 212)
(('BRONX', datetime.datetime(2006, 11, 12, 0, 0), 0), 260)
(('BRONX', datetime.datetime(2007, 8, 5, 0, 0), 1), 313)
(('BRONX', datetime.datetime(2007, 8, 12, 0, 0), 0), 291)
(('BRONX', datetime.datetime(2007, 10, 28, 0, 0), 0), 293)
(('BRONX', datetime.datetime(2007, 11, 4, 0, 0), 1), 282)
(('BRONX', datetime.datetime(2008, 7, 27, 0, 0), 1), 266)
(('BRONX', datetime.datetime(2008, 8, 3, 0, 0), 0), 293)
(('BRONX', datetime.datetime(2008, 11, 2, 0, 0), 1), 210)
(('BRONX', datetime.datetime(2008, 11, 9, 0, 0), 0), 249)
(('BRONX', datetime.datetime(2009, 8, 26, 0, 0), 1), 310)
(('BRONX', datetime.datetime(2009, 9, 2, 0, 0), 0), 337)
(('BRONX', datetime.datetime(2009, 11, 1, 0, 0), 1), 310)
(('BRONX', datetime.datetime(2009, 11, 8, 0, 0), 0), 282)
(('BRONX', datetime.datetime(2010, 3, 21, 0, 0), 1), 248)
(('BRONX', datetime.datetime(2010, 3, 28, 0, 0), 0), 252)
(('BRONX', datetime.datetime(2010, 11, 7, 0, 0), 1), 260)
(('BRONX', datetime.datetime(2010, 11, 14, 0, 0), 0), 247)
(('BRONX', datetime.datetime(2011, 3, 20, 0, 0), 1), 253)
(('BRONX', datetime.datetime(2011, 3, 27, 0, 0), 0), 238)
(('BRONX', datetime.datetime(2011, 11, 6, 0, 0), 1), 240)
(('BRONX', datetime.datetime(2011, 11, 13, 0, 0), 0), 251)
(('BRONX', datetime.datetime(2012, 3, 18, 0, 0), 1), 248)
(('BRONX', datetime.datetime(2012, 3, 25, 0, 0), 0), 252)
(('BRONX', datetime.datetime(2012, 11, 2, 0, 0), 1), 205)
(('BRONX', datetime.datetime(2012, 11, 9, 0, 0), 0), 276)
(('BRONX', datetime.datetime(2013, 3, 17, 0, 0), 1), 237)
(('BRONX', datetime.datetime(2013, 3, 24, 0, 0), 0), 255)
(('BRONX', datetime.datetime(2013, 11, 3, 0, 0), 1), 246)
(('BRONX', datetime.datetime(2013, 11, 10, 0, 0), 0), 255)
