,Station Name,Line,Station Latitude,Station Longitude,Station Location,Entrance Location,zipcodes,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11
0,25th St,4 Avenue,40.660396999999996,-73.998091,"(40.660397, -73.998091)","(40.660323, -73.997952)",11232,R,,,,,,,,,,
1,25th St,4 Avenue,40.660396999999996,-73.998091,"(40.660397, -73.998091)","(40.660323, -73.997952)",11232,R,,,,,,,,,,
2,36th St,4 Avenue,40.655144,-74.00354899999999,"(40.655144, -74.003549)","(40.654490, -74.004499)",11232,N,R,,,,,,,,,
3,36th St,4 Avenue,40.655144,-74.00354899999999,"(40.655144, -74.003549)","(40.654490, -74.004499)",11232,N,R,,,,,,,,,
4,36th St,4 Avenue,40.655144,-74.00354899999999,"(40.655144, -74.003549)","(40.654490, -74.004499)",11232,N,R,,,,,,,,,
5,45th St,4 Avenue,40.648939,-74.010006,"(40.648939, -74.010006)","(40.649389, -74.009333)",11220,R,,,,,,,,,,
6,45th St,4 Avenue,40.648939,-74.010006,"(40.648939, -74.010006)","(40.649389, -74.009333)",11220,R,,,,,,,,,,
7,45th St,4 Avenue,40.648939,-74.010006,"(40.648939, -74.010006)","(40.649389, -74.009333)",11220,R,,,,,,,,,,
8,45th St,4 Avenue,40.648939,-74.010006,"(40.648939, -74.010006)","(40.649389, -74.009333)",11220,R,,,,,,,,,,
9,53rd St,4 Avenue,40.645069,-74.014034,"(40.645069, -74.014034)","(40.644653, -74.014690)",11220,R,,,,,,,,,,
10,53rd St,4 Avenue,40.645069,-74.014034,"(40.645069, -74.014034)","(40.644653, -74.014690)",11220,R,,,,,,,,,,
11,53rd St,4 Avenue,40.645069,-74.014034,"(40.645069, -74.014034)","(40.644653, -74.014690)",11220,R,,,,,,,,,,
12,53rd St,4 Avenue,40.645069,-74.014034,"(40.645069, -74.014034)","(40.644653, -74.014690)",11220,R,,,,,,,,,,
13,53rd St,4 Avenue,40.645069,-74.014034,"(40.645069, -74.014034)","(40.644653, -74.014690)",11220,R,,,,,,,,,,
14,59th St,4 Avenue,40.641362,-74.017881,"(40.641362, -74.017881)","(40.641606, -74.017897)",11220,N,R,,,,,,,,,
15,59th St,4 Avenue,40.641362,-74.017881,"(40.641362, -74.017881)","(40.641606, -74.017897)",11220,N,R,,,,,,,,,
16,59th St,4 Avenue,40.641362,-74.017881,"(40.641362, -74.017881)","(40.641606, -74.017897)",11220,N,R,,,,,,,,,
17,59th St,4 Avenue,40.641362,-74.017881,"(40.641362, -74.017881)","(40.641606, -74.017897)",11220,N,R,,,,,,,,,
