ymd,humidity,max wind speed,snowfall,temp
2006-01-01,74.0,9.0,0.0,37.0
2006-01-02,71.0,18.0,0.0,44.0
2006-01-03,84.0,28.0,0.0,37.0
2006-01-04,72.0,15.0,0.0,34.0
2006-01-05,71.0,15.0,0.0,44.0
2006-01-06,60.0,17.0,0.0,37.0
2006-01-07,51.0,15.0,0.0,30.0
2006-01-08,56.0,13.0,0.0,40.0
2006-01-09,60.0,15.0,0.0,52.0
2006-01-10,52.0,10.0,0.0,45.0
2006-01-11,79.0,14.0,0.0,47.0
2006-01-12,63.0,15.0,0.0,51.0
2006-01-13,81.0,12.0,0.0,49.0
2006-01-14,91.0,18.0,,44.0
2006-01-15,62.0,31.0,2.0,24.0
2006-01-16,44.0,16.0,0.0,24.0
2006-01-17,59.0,14.0,0.0,35.0
2006-01-18,69.0,28.0,0.0,47.0
2006-01-19,47.0,17.0,0.0,41.0
2006-01-20,49.0,16.0,0.0,52.0
2006-01-21,53.0,26.0,0.0,51.0
2006-01-22,40.0,15.0,0.0,38.0
2006-01-23,76.0,14.0,,38.0
2006-01-24,54.0,14.0,0.0,41.0
2006-01-25,65.0,22.0,0.0,38.0
2006-01-26,47.0,21.0,0.0,31.0
2006-01-27,40.0,16.0,0.0,34.0
2006-01-28,33.0,13.0,0.0,48.0
2006-01-29,66.0,13.0,0.0,49.0
2006-01-30,70.0,20.0,0.0,53.0
2006-01-31,81.0,24.0,0.0,41.0
2006-02-01,55.0,18.0,0.0,39.0
2006-02-02,66.0,17.0,0.0,45.0
2006-02-03,75.0,18.0,0.0,54.0
2006-02-04,78.0,21.0,0.0,48.0
2006-02-05,69.0,18.0,0.0,46.0
2006-02-06,46.0,23.0,0.0,37.0
2006-02-07,45.0,16.0,0.0,37.0
2006-02-08,48.0,14.0,0.0,32.0
2006-02-09,41.0,14.0,0.0,30.0
2006-02-10,50.0,17.0,0.0,32.0
2006-02-11,67.0,25.0,2.8,32.0
2006-02-12,76.0,25.0,24.1,26.0
2006-02-13,57.0,14.0,0.0,28.0
2006-02-14,56.0,16.0,0.0,35.0
2006-02-15,47.0,13.0,0.0,46.0
2006-02-16,56.0,14.0,0.0,50.0
2006-02-17,52.0,28.0,0.0,45.0
2006-02-18,53.0,23.0,,25.0
2006-02-19,38.0,15.0,0.0,23.0
2006-02-20,37.0,13.0,0.0,29.0
2006-02-21,42.0,17.0,0.0,36.0
2006-02-22,58.0,14.0,0.0,39.0
2006-02-23,67.0,16.0,0.0,43.0
2006-02-24,42.0,29.0,0.0,35.0
2006-02-25,38.0,25.0,0.0,39.0
2006-02-26,43.0,25.0,0.0,24.0
2006-02-27,37.0,16.0,0.0,23.0
2006-02-28,50.0,16.0,,28.0
2006-03-01,33.0,18.0,0.0,34.0
2006-03-02,65.0,15.0,1.3,32.0
2006-03-03,52.0,24.0,0.0,28.0
2006-03-04,49.0,21.0,0.0,32.0
2006-03-05,36.0,22.0,0.0,38.0
2006-03-06,43.0,14.0,0.0,37.0
2006-03-07,40.0,12.0,0.0,37.0
2006-03-08,38.0,13.0,0.0,39.0
2006-03-09,63.0,21.0,0.0,46.0
2006-03-10,59.0,24.0,0.0,61.0
2006-03-11,41.0,14.0,0.0,55.0
2006-03-12,75.0,13.0,0.0,52.0
2006-03-13,84.0,14.0,0.0,56.0
2006-03-14,62.0,24.0,0.0,51.0
2006-03-15,38.0,23.0,0.0,40.0
2006-03-16,38.0,14.0,0.0,41.0
2006-03-17,37.0,15.0,0.0,39.0
2006-03-18,35.0,15.0,0.0,34.0
2006-03-19,45.0,15.0,0.0,36.0
2006-03-20,44.0,13.0,0.0,34.0
2006-03-21,38.0,13.0,0.0,34.0
2006-03-22,46.0,17.0,0.0,37.0
2006-03-23,43.0,13.0,0.0,44.0
2006-03-24,57.0,15.0,0.0,46.0
2006-03-25,61.0,17.0,0.0,43.0
2006-03-26,61.0,13.0,0.0,44.0
2006-03-27,36.0,10.0,0.0,47.0
2006-03-28,41.0,10.0,0.0,49.0
2006-03-29,41.0,12.0,0.0,52.0
2006-03-30,37.0,14.0,0.0,56.0
2006-03-31,42.0,12.0,0.0,60.0
2006-04-01,57.0,15.0,0.0,63.0
2006-04-02,35.0,12.0,0.0,56.0
2006-04-03,67.0,13.0,0.0,52.0
2006-04-04,71.0,20.0,0.0,48.0
2006-04-05,66.0,21.0,0.0,40.0
2006-04-06,48.0,14.0,0.0,46.0
2006-04-07,64.0,12.0,0.0,55.0
2006-04-08,77.0,15.0,0.0,49.0
2006-04-09,39.0,14.0,0.0,47.0
2006-04-10,39.0,13.0,0.0,52.0
2006-04-11,45.0,13.0,0.0,56.0
2006-04-12,52.0,17.0,0.0,56.0
2006-04-13,52.0,13.0,0.0,66.0
2006-04-14,74.0,10.0,0.0,60.0
2006-04-15,76.0,13.0,0.0,66.0
2006-04-16,39.0,15.0,0.0,58.0
2006-04-17,44.0,16.0,0.0,54.0
2006-04-18,46.0,12.0,0.0,60.0
2006-04-19,41.0,13.0,0.0,62.0
2006-04-20,27.0,10.0,0.0,70.0
2006-04-21,58.0,17.0,0.0,54.0
2006-04-22,79.0,17.0,0.0,44.0
2006-04-23,94.0,16.0,0.0,53.0
2006-04-24,86.0,13.0,0.0,54.0
2006-04-25,52.0,10.0,0.0,60.0
2006-04-26,46.0,12.0,0.0,49.0
2006-04-27,37.0,8.0,0.0,60.0
2006-04-28,40.0,16.0,0.0,56.0
2006-04-29,42.0,15.0,0.0,55.0
2006-04-30,42.0,8.0,0.0,57.0
2006-05-01,27.0,21.0,0.0,61.0
2006-05-02,49.0,13.0,0.0,60.0
2006-05-03,73.0,13.0,0.0,61.0
2006-05-04,62.0,9.0,0.0,66.0
2006-05-05,39.0,9.0,0.0,72.0
2006-05-06,39.0,12.0,0.0,65.0
2006-05-07,44.0,10.0,0.0,56.0
2006-05-08,44.0,14.0,0.0,58.0
2006-05-09,41.0,14.0,0.0,58.0
2006-05-10,70.0,10.0,0.0,60.0
2006-05-11,84.0,12.0,0.0,58.0
2006-05-12,89.0,14.0,0.0,64.0
2006-05-13,82.0,17.0,0.0,62.0
2006-05-14,77.0,13.0,0.0,56.0
2006-05-15,89.0,21.0,0.0,56.0
2006-05-16,89.0,14.0,0.0,58.0
2006-05-17,62.0,13.0,0.0,62.0
2006-05-18,71.0,12.0,,65.0
2006-05-19,87.0,16.0,0.0,55.0
2006-05-20,57.0,12.0,0.0,60.0
2006-05-21,52.0,15.0,0.0,60.0
2006-05-22,49.0,13.0,0.0,56.0
2006-05-23,46.0,15.0,0.0,56.0
